balance_ratio,sim_calculation_type,batch_size,n_iter,sim_type,improvement_ratio
-1,-1,-1,-1,-1,-0.023344954070422856
-1,-1,-1,-1,-1,0.02663959116668189
-1,-1,-1,-1,-1,-0.032154154611062
-1,-1,-1,-1,-1,-0.11068418908627878
-1,-1,-1,-1,-1,-0.017361982415794612
-1,-1,-1,-1,-1,0.00047979214390677516
-1,-1,-1,-1,-1,-0.023102518687777414
-1,-1,-1,-1,-1,-0.0038969061220155065
-1,-1,-1,-1,-1,-0.1054049372564771
-1,-1,-1,-1,-1,-0.02603658824967751
-1,-1,-1,-1,-1,-0.027129276608657615
-1,-1,-1,-1,-1,0.018902449538190355
-1,-1,-1,-1,-1,-0.04457103383485151
-1,-1,-1,-1,-1,-0.03345748863174766
-1,-1,-1,-1,-1,-0.034155286977068586
-1,-1,-1,-1,-1,-0.011289901325155848
-1,-1,-1,-1,-1,-0.01869366402239086
-1,-1,-1,-1,-1,-0.025817655296274722
-1,-1,-1,-1,-1,-0.025941085943720542
-1,-1,-1,-1,-1,-0.017561964303688185
-1,-1,-1,-1,-1,-0.022925700055464182
-1,-1,-1,-1,-1,0.0031484800602779284
-1,-1,-1,-1,-1,-0.03506856397264957
-1,-1,-1,-1,-1,-0.14779505414868188
-1,-1,-1,-1,-1,-0.0509367565478904
-1,-1,-1,-1,-1,-0.025414387419975176
-1,-1,-1,-1,-1,-0.006368684690421701
-1,-1,-1,-1,-1,-0.06823104482152682
-1,-1,-1,-1,-1,-0.10564814988571553
-1,-1,-1,-1,-1,0.0016106418450224336
-1,-1,-1,-1,-1,0.009724639787658843
-1,-1,-1,-1,-1,-0.022566221093451938
-1,-1,-1,-1,-1,0.009836647080422738
-1,-1,-1,-1,-1,-0.03003697725586391
-1,-1,-1,-1,-1,-0.02340020898572981
-1,-1,-1,-1,-1,0.003475030534471941
-1,-1,-1,-1,-1,0.00883917298224851
-1,-1,-1,-1,-1,-0.02866123890145418
-1,-1,-1,-1,-1,-0.09517951940063807
-1,-1,-1,-1,-1,-0.043127948438170596
-1,-1,-1,-1,-1,-0.001692593054583519
-1,-1,-1,-1,-1,0.016589914928309264
-1,-1,-1,-1,-1,-0.02749234280938467
-1,-1,-1,-1,-1,-0.07471703936289159
-1,-1,-1,-1,-1,-0.015007415590547976
-1,-1,-1,-1,-1,-0.0492816451077431
-1,-1,-1,-1,-1,0.023206148101536962
-1,-1,-1,-1,-1,-0.018997881867953408
-1,-1,-1,-1,-1,-0.07396611243285368
-1,-1,-1,-1,-1,-0.018357984618883876
-1,-1,-1,-1,0,0.01547230055819207
-1,-1,-1,-1,0,0.0014821362880261912
-1,-1,-1,-1,0,0.02435671707865016
-1,-1,-1,-1,0,-0.0167787765958966
-1,-1,-1,-1,0,-0.028314599866053145
-1,-1,-1,-1,0,-0.0025826747783219924
-1,-1,-1,-1,0,0.02185650927636931
-1,-1,-1,-1,0,0.02540726364404221
-1,-1,-1,-1,0,-0.02004830550422066
-1,-1,-1,-1,0,0.007618464091100154
-1,-1,-1,-1,0,-0.0018729851096286484
-1,-1,-1,-1,0,-0.011191279257942267
-1,-1,-1,-1,0,0.023938107247677077
-1,-1,-1,-1,0,-0.02235979239791175
-1,-1,-1,-1,0,0.010931383739842194
-1,-1,-1,-1,0,-0.00027812590790738897
-1,-1,-1,-1,0,-0.002116276651981381
-1,-1,-1,-1,0,0.024249491422306195
-1,-1,-1,-1,0,-0.027306562637816875
-1,-1,-1,-1,0,0.00670147300323891
-1,-1,-1,-1,0,0.009287958240538866
-1,-1,-1,-1,0,0.017334939697113087
-1,-1,-1,-1,0,0.0035191544616499184
-1,-1,-1,-1,0,-0.03500468692709242
-1,-1,-1,-1,0,-0.0007837662625305886
-1,-1,-1,-1,0,0.0070842133201576545
-1,-1,-1,-1,0,-0.003326207153468462
-1,-1,-1,-1,0,-0.019333314366587823
-1,-1,-1,-1,0,-0.02526242348589266
-1,-1,-1,-1,0,0.018289405302282707
-1,-1,-1,-1,0,-0.01281568688243997
-1,-1,-1,-1,0,0.020300564823415457
-1,-1,-1,-1,0,0.008015620109552727
-1,-1,-1,-1,0,-0.014088361421855057
-1,-1,-1,-1,0,0.011551141423427976
-1,-1,-1,-1,0,0.03142843932442814
-1,-1,-1,-1,0,0.01340477751993639
-1,-1,-1,-1,0,0.021898136325738213
-1,-1,-1,-1,0,-0.016708484269774917
-1,-1,-1,-1,0,-0.03778916022867826
-1,-1,-1,-1,0,0.0031586653807645143
-1,-1,-1,-1,0,0.021178597547715918
-1,-1,-1,-1,0,-0.0010954866175762591
-1,-1,-1,-1,0,-0.04123370214465269
-1,-1,-1,-1,0,0.008435629223789055
-1,-1,-1,-1,0,0.018910471401701042
-1,-1,-1,-1,0,0.0007447991012903932
-1,-1,-1,-1,0,0.023773947579062694
-1,-1,-1,-1,0,-0.027358259931130648
-1,-1,-1,-1,0,0.0063663672415205505
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,-1,1,0.0
-1,-1,-1,1,-1,-0.029864939779369614
-1,-1,-1,1,-1,-0.002895831646168838
-1,-1,-1,1,-1,-0.03658207817647238
-1,-1,-1,1,-1,-0.08010854133618063
-1,-1,-1,1,-1,-0.03156678570862831
-1,-1,-1,1,-1,-0.00423210374825438
-1,-1,-1,1,-1,0.01240597235659333
-1,-1,-1,1,-1,0.0099914064890258
-1,-1,-1,1,-1,-0.09515367028104972
-1,-1,-1,1,-1,-0.04465841367845373
-1,-1,-1,1,-1,-0.0011857345828253638
-1,-1,-1,1,-1,0.053958243240291796
-1,-1,-1,1,-1,-0.05445211544015892
-1,-1,-1,1,-1,-0.10925562949931732
