balance_ratio,sim_calculation_type,batch_size,n_iter,sim_type,improvement_ratio
-1,-1,-1,-1,-1,-0.0233449540704228
-1,-1,-1,-1,-1,0.0266395911666818
-1,-1,-1,-1,-1,-0.032154154611062
-1,-1,-1,-1,-1,-0.1106841890862787
-1,-1,-1,-1,-1,-0.0173619824157946
-1,-1,-1,-1,-1,0.0004797921439067
-1,-1,-1,-1,-1,-0.0231025186877774
-1,-1,-1,-1,-1,-0.0038969061220155
-1,-1,-1,-1,-1,-0.1054049372564771
-1,-1,-1,-1,-1,-0.0260365882496775
-1,-1,-1,-1,-1,-0.0271292766086576
-1,-1,-1,-1,-1,0.0189024495381903
-1,-1,-1,-1,-1,-0.0445710338348515
-1,-1,-1,-1,-1,-0.0334574886317476
-1,-1,-1,-1,-1,-0.0341552869770685
-1,-1,-1,-1,-1,-0.0112899013251558
-1,-1,-1,-1,-1,-0.0186936640223908
-1,-1,-1,-1,-1,-0.0258176552962747
-1,-1,-1,-1,-1,-0.0259410859437205
-1,-1,-1,-1,-1,-0.0175619643036881
-1,-1,-1,-1,-1,-0.0229257000554641
-1,-1,-1,-1,-1,0.0031484800602779
-1,-1,-1,-1,-1,-0.0350685639726495
-1,-1,-1,-1,-1,-0.1477950541486818
-1,-1,-1,-1,-1,-0.0509367565478904
-1,-1,-1,-1,-1,-0.0254143874199751
-1,-1,-1,-1,-1,-0.0063686846904217
-1,-1,-1,-1,-1,-0.0682310448215268
-1,-1,-1,-1,-1,-0.1056481498857155
-1,-1,-1,-1,-1,0.0016106418450224
-1,-1,-1,-1,-1,0.0097246397876588
-1,-1,-1,-1,-1,-0.0225662210934519
-1,-1,-1,-1,-1,0.0098366470804227
-1,-1,-1,-1,-1,-0.0300369772558639
-1,-1,-1,-1,-1,-0.0234002089857298
-1,-1,-1,-1,-1,0.0034750305344719
-1,-1,-1,-1,-1,0.0088391729822485
-1,-1,-1,-1,-1,-0.0286612389014541
-1,-1,-1,-1,-1,-0.095179519400638
-1,-1,-1,-1,-1,-0.0431279484381705
-1,-1,-1,-1,-1,-0.0016925930545835
-1,-1,-1,-1,-1,0.0165899149283092
-1,-1,-1,-1,-1,-0.0274923428093846
-1,-1,-1,-1,-1,-0.0747170393628915
-1,-1,-1,-1,-1,-0.0150074155905479
-1,-1,-1,-1,-1,-0.0492816451077431
-1,-1,-1,-1,-1,0.0232061481015369
-1,-1,-1,-1,-1,-0.0189978818679534
-1,-1,-1,-1,-1,-0.0739661124328536
-1,-1,-1,-1,-1,-0.0183579846188838
-1,-1,-1,-1,1,0.015472300558192
-1,-1,-1,-1,1,0.0014821362880261
-1,-1,-1,-1,1,0.0243567170786501
-1,-1,-1,-1,1,-0.0167787765958966
-1,-1,-1,-1,1,-0.0283145998660531
-1,-1,-1,-1,1,-0.0025826747783219
-1,-1,-1,-1,1,0.0218565092763693
-1,-1,-1,-1,1,0.0254072636440422
-1,-1,-1,-1,1,-0.0200483055042206
-1,-1,-1,-1,1,0.0076184640911001
-1,-1,-1,-1,1,-0.0018729851096286
-1,-1,-1,-1,1,-0.0111912792579422
-1,-1,-1,-1,1,0.023938107247677
-1,-1,-1,-1,1,-0.0223597923979117
-1,-1,-1,-1,1,0.0109313837398421
-1,-1,-1,-1,1,-0.0002781259079073
-1,-1,-1,-1,1,-0.0021162766519813
-1,-1,-1,-1,1,0.0242494914223061
-1,-1,-1,-1,1,-0.0273065626378168
-1,-1,-1,-1,1,0.0067014730032389
-1,-1,-1,-1,1,0.0092879582405388
-1,-1,-1,-1,1,0.017334939697113
-1,-1,-1,-1,1,0.0035191544616499
-1,-1,-1,-1,1,-0.0350046869270924
-1,-1,-1,-1,1,-0.0007837662625305
-1,-1,-1,-1,1,0.0070842133201576
-1,-1,-1,-1,1,-0.0033262071534684
-1,-1,-1,-1,1,-0.0193333143665878
-1,-1,-1,-1,1,-0.0252624234858926
-1,-1,-1,-1,1,0.0182894053022827
-1,-1,-1,-1,1,-0.0128156868824399
-1,-1,-1,-1,1,0.0203005648234154
-1,-1,-1,-1,1,0.0080156201095527
-1,-1,-1,-1,1,-0.014088361421855
-1,-1,-1,-1,1,0.0115511414234279
-1,-1,-1,-1,1,0.0314284393244281
-1,-1,-1,-1,1,0.0134047775199363
-1,-1,-1,-1,1,0.0218981363257382
-1,-1,-1,-1,1,-0.0167084842697749
-1,-1,-1,-1,1,-0.0377891602286782
-1,-1,-1,-1,1,0.0031586653807645
-1,-1,-1,-1,1,0.0211785975477159
-1,-1,-1,-1,1,-0.0010954866175762
-1,-1,-1,-1,1,-0.0412337021446526
-1,-1,-1,-1,1,0.008435629223789
-1,-1,-1,-1,1,0.018910471401701
-1,-1,-1,-1,1,0.0007447991012903
-1,-1,-1,-1,1,0.0237739475790626
-1,-1,-1,-1,1,-0.0273582599311306
-1,-1,-1,-1,1,0.0063663672415205
-1,-1,-1,1,-1,-0.0298649397793696
-1,-1,-1,1,-1,-0.0028958316461688
-1,-1,-1,1,-1,-0.0365820781764723
-1,-1,-1,1,-1,-0.0801085413361806
-1,-1,-1,1,-1,-0.0315667857086283
